DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
19-Jun-25,"1,933.90","1,946.80","1,925.60","1,935.30",8438110
18-Jun-25,"1,917.00","1,936.30","1,917.00","1,933.90",9216908
17-Jun-25,"1,937.00","1,941.60","1,919.10","1,929.60",8489368
16-Jun-25,"1,924.00","1,938.90","1,920.10","1,935.40",8256873
13-Jun-25,"1,920.00","1,933.00","1,913.00","1,917.60",6058881
12-Jun-25,"1,950.00","1,961.00","1,935.30","1,943.40",8174565
11-Jun-25,"1,967.60","1,967.60","1,947.00","1,950.40",5548197
10-Jun-25,"1,982.80","1,982.80","1,961.10","1,965.30",7766563
09-Jun-25,"1,995.00","1,995.00","1,975.90","1,978.90",6601294
06-Jun-25,"1,944.00","1,996.30","1,942.70","1,978.70",15063504
05-Jun-25,"1,948.00","1,958.90","1,940.20","1,949.60",11127709
04-Jun-25,"1,921.00","1,943.30","1,920.90","1,941.20",6480771
03-Jun-25,"1,938.00","1,952.00","1,920.00","1,924.60",12188792
02-Jun-25,"1,930.10","1,936.00","1,908.00","1,932.10",7334411
30-May-25,"1,931.90","1,948.80","1,925.40","1,944.90",14374039
29-May-25,"1,928.00","1,940.80","1,907.30","1,927.50",14458897
28-May-25,"1,920.20","1,934.50","1,917.70","1,923.50",9078797
27-May-25,"1,931.60","1,948.00","1,916.30","1,926.30",13081074
26-May-25,"1,935.00","1,949.90","1,926.90","1,940.20",5401430
23-May-25,"1,920.10","1,937.00","1,914.50","1,933.60",4783036
22-May-25,"1,915.20","1,924.20","1,905.20","1,919.90",10653335
21-May-25,"1,927.00","1,946.90","1,921.10","1,926.80",7566020
20-May-25,"1,928.10","1,934.60","1,913.00","1,914.90",11939545
19-May-25,"1,937.00","1,945.00","1,931.00","1,938.70",5101482
16-May-25,"1,933.80","1,943.80","1,928.40","1,934.70",7934005
15-May-25,"1,913.50","1,944.80","1,897.00","1,933.80",16120729
14-May-25,"1,922.10","1,930.20","1,903.00","1,910.60",7722654
13-May-25,"1,950.00","1,961.70","1,920.00","1,922.60",12121051
12-May-25,"1,917.60","1,959.90","1,912.30","1,957.20",9309486
09-May-25,"1,910.10","1,919.00","1,886.80","1,889.70",8594398
08-May-25,"1,954.80","1,954.80","1,919.10","1,928.50",17401715
07-May-25,"1,934.00","1,948.70","1,922.40","1,945.60",10710389
06-May-25,"1,930.00","1,940.10","1,924.30","1,931.70",8745078
05-May-25,"1,939.00","1,952.00","1,932.30","1,936.80",7534012
02-May-25,"1,929.80","1,941.90","1,920.00","1,925.00",11406024
30-Apr-25,"1,913.00","1,936.90","1,910.30","1,925.00",15968435
29-Apr-25,"1,918.80","1,928.80","1,900.20","1,908.80",9459154
28-Apr-25,"1,911.20","1,929.70","1,908.40","1,920.20",6960246
25-Apr-25,"1,924.80","1,933.00","1,891.80","1,911.20",9250439
24-Apr-25,"1,910.00","1,923.90","1,905.10","1,916.80",12965877
23-Apr-25,"1,978.90","1,978.90","1,920.50","1,923.90",15285321
22-Apr-25,"1,935.00","1,970.60","1,935.00","1,961.70",22980875
